CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;CONDICION_LABORAL;TIPO_HOGAR
TQRMNOPTQHMMKPCDEFJAH00808777;2024;3;1;1;43;N;3;252;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;Inactivo;Nuclear
TQRMNORQSHMMKPCDEFJAH00808778;2024;3;1;1;43;N;3;252;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;Desocupado;Nuclear
TQRMNOPTVHLOKRCDEFJAH00803557;2024;3;1;1;43;N;3;234;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNOTUVHMOLNCDEHLEH00811175;2024;3;1;1;40;N;25;146;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;6;;4;ELECTRICIDAD;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;5;0;5;530000;3;3;3;;3;4;106000;1;1;1;;1;1;180;1;3;98;0;0;0;Desocupado;Extendido
TQRMNOTUWHMOLNCDEHLEH00854067;2024;3;1;1;40;N;25;224;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;400000;2;2;2;;2;3;400000;6;6;8;;7;9;272;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOPVWHKOLPCDEHLEH00868716;2024;3;1;1;40;N;25;176;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;1090000;6;7;7;;7;9;272500;4;4;6;;5;7;258;1;0;2;3;4;0;Inactivo;Nuclear
TQRMNORYWHLOLPCDEHLEH00811176;2024;3;1;1;40;N;25;109;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;4;2;0;2;1;1;2;0;2;0;1;;2;;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;500000;3;3;3;;3;4;250000;4;4;5;;4;6;146;1;2;97;0;0;0;Fuera de categoría/sin información;Nuclear
TQRMNOPXTHJOLQCDEHLEH00863491;2024;3;1;1;40;N;25;117;1;;2;2;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;4;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;365000;2;2;2;;2;2;182500;2;3;3;;3;4;128;1;2;98;0;0;0;Desocupado;Nuclear
TQRMNOPXPHLKMOCDEIIAD00806957;2024;3;1;1;1;S;32;755;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;4;0;4;889000;5;;5;5;;3;222250;3;;3;3;;1;1346;1;0;3;4;0;0;Desocupado;Nuclear
TQRMNOQRPHKKMMCDEIIAD00868717;2024;3;1;1;1;S;32;1368;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;9;no contesta;1;;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;285000;1;;1;1;;1;285000;4;;4;4;;2;1615;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOPUYHLNKMCDEIIAD00806999;2024;3;1;1;1;S;32;1318;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;1;0;0;0;Ocupado autónomo;Nuclear
TQRMNOPYYHKNKMCDEIIAD00868718;2024;3;1;1;1;S;32;2232;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;1400000;8;;7;7;;6;700000;8;;8;8;;6;2939;1;0;98;0;0;0;Desocupado;Nuclear
TQRMNOSSXHJOKOCDEIIAD00862939;2024;3;1;1;1;S;32;1605;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;2;2;2;0;0;0;0;6;;4;ELECTRICIDAD;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;1;0;1;400000;2;;2;2;;1;400000;6;;6;6;;3;1849;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOUXVHLLMRCDEIIAD00812017;2024;3;2;1;1;S;32;4595;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;2;2;1;2;0;2;0;3;;4;Electricidad;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;762000;4;;4;4;;3;381000;6;;5;6;;3;5102;1;0;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNOQUSHMMLMCDEHIBB00810903;2024;3;1;1;40;N;22;148;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1124000;7;7;7;;7;8;160571,43;2;2;3;;3;4;152;1;0;98;0;0;0;Inactivo;Extendido
TQRMNOVQUHMMLMCDEHIBB00810904;2024;3;1;1;40;N;22;119;1;;3;2;;1;2;1;1;;1;1;1;1;1;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;1120000;7;7;7;;7;8;280000;4;4;6;;5;6;125;1;0;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNORSXHJOLMCDEHIBB00863074;2024;3;1;1;40;N;22;185;1;;2;1;;2;2;1;1;;1;1;2;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;6;2;4;110000;1;1;1;;1;1;18333,33;1;1;1;;1;1;179;1;5;98;0;0;0;Desocupado;Extendido
TQRMNOTYWHJOLMCDEHIBB00863391;2024;3;1;1;40;N;22;146;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;3;0;3;935000;6;6;6;;6;7;311666,67;5;5;6;;6;6;156;1;2;3;0;0;0;Desocupado;Nuclear
TQRMNOQVVHLMLMCDEGLDF00805168;2024;3;1;1;41;N;15;132;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;2;1;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;100000;1;1;1;;1;1;100000;1;1;2;;1;1;125;1;0;98;0;0;0;Desocupado;Unipersonal
TQRMNOUPYHLOLNCDEGLDF00810302;2024;3;1;1;41;N;15;267;1;;2;2;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;675000;4;4;6;;5;6;337500;5;5;7;;6;8;305;1;0;2;0;0;0;Ocupado autónomo;Nuclear
TQRMNOQXQHLOLOCDEGLDF00805174;2024;3;1;1;41;N;15;351;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;6;0;6;1495000;8;8;10;;8;10;249166,67;4;4;5;;4;6;370;2;0;1;3;0;0;Inactivo;Extendido
TQRMNOSPPHKOLPCDEGLDF00868719;2024;3;1;1;41;N;15;272;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;1;1;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;730200;4;5;6;;5;6;182550;2;3;4;;3;4;293;1;0;98;0;0;0;Desocupado;Nuclear
TQRMNOQWPHLNLQCDEGLDF00805175;2024;3;1;1;41;N;15;86;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1037200;6;7;8;;7;8;518600;7;8;9;;8;10;85;1;0;97;0;0;0;Desocupado;Nuclear
TQRMNOPTXHJNLOCDEGLDF00863180;2024;3;1;1;41;N;15;138;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;4;0;4;400000;2;2;3;;2;3;100000;1;1;2;;1;1;128;2;0;4;0;0;0;Inactivo;Nuclear
TQSMNOQYQHMNLQCDEGLDF00810311;2024;3;1;1;41;N;15;134;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;0;2;560000;3;3;5;;4;4;280000;4;4;6;;5;7;148;2;0;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNOQPTHKLSRCDEIJAH00868794;2024;3;1;1;1;S;33;2138;1;;1;1;;9;1;1;2;;1;1;1;2;2;2;2;1;1;2;0;2;2;2;0;0;0;0;2;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;459000;2;;2;2;;2;459000;7;;6;7;;7;2439;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOQPUHKLSRCDEIJAH00868795;2024;3;1;1;1;S;33;1615;1;;3;1;;4;1;1;2;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1890000;9;;8;9;;9;630000;8;;8;8;;9;4814;3;1;2;0;0;0;Desocupado;Nuclear
TQRMNORQRHMLKSCDEFKID00808959;2024;3;1;1;43;S;4;1238;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;3600000;10;10;10;10;;10;1200000;10;10;10;10;;10;2258;1;0;2;0;0;0;Desocupado;Nuclear
TQRMNORUUHLOKSCDEGIBJ00804734;2024;3;1;1;41;N;12;313;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;527000;3;3;4;;3;4;263500;4;4;6;;5;5;305;1;0;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNOSTXHMOKPCDEGIBJ00809866;2024;3;1;1;41;N;12;942;1;;3;1;;4;1;1;1;;1;1;1;2;1;1;2;2;2;2;0;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;5;2;3;660000;4;4;6;;4;5;132000;2;2;3;;2;2;921;2;0;98;0;0;0;Desocupado;Extendido
TQRMNOQWQHMMKTCDEGIBJ00809783;2024;3;1;1;41;N;12;457;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;;2;;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;0;2;401000;2;2;3;;2;2;200500;3;3;4;;3;3;448;2;0;1;0;0;0;Desocupado;Nuclear
TQRMNORPRHKNKRCDEOHCH00868796;2024;3;1;1;44;N;91;109;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2725000;10;10;9;;10;10;1362500;10;10;10;;10;10;133;1;0;98;0;0;0;Desocupado;Nuclear
TQRMNOPXVHJOKNCDEFPCH00862855;2024;3;1;1;44;N;9;580;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1000000;6;6;5;;7;5;1000000;9;10;9;;10;9;647;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOQQWHKOKNCDEGKDB00868797;2024;3;1;1;43;N;14;224;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;5;98;0;0;0;Inactivo;Extendido
TQRMNOPWQHMOKOCDEGLDF00810282;2024;3;1;1;41;N;15;168;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;4;0;4;1020000;6;7;8;;7;8;255000;4;4;6;;4;6;159;1;0;2;0;0;0;Desocupado;Nuclear
TQRMNOQRSHMOKQCDEGLDF00810283;2024;3;1;1;41;N;15;130;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;2;1;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;407800;2;2;3;;2;3;135933,33;2;2;3;;2;3;130;2;0;3;0;0;0;Desocupado;Nuclear
TQRMNOPUVHJOKPCDEGLDF00862617;2024;3;1;1;41;N;15;196;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;5;0;5;447800;2;2;4;;3;3;89560;1;1;1;;1;1;191;2;4;98;0;0;0;Inactivo;Extendido
TQRMNOTRYHLLKOCDEGLDF00805155;2024;3;1;1;41;N;15;149;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;3;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;3;0;3;1040700;6;7;8;;7;8;346900;5;6;7;;6;8;178;1;0;98;0;0;0;Desocupado;Nuclear
TQRMNORUSHKOLMCDEGPDJ00868798;2024;3;1;1;40;N;19;212;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;890000;5;6;6;;6;6;296666,67;4;5;6;;5;6;212;2;3;98;0;0;0;Desocupado;Nuclear
TQRMNOPSVHJNKMCDEIGED00511715;2024;3;1;1;43;N;30;30;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;300000;1;1;1;;2;2;300000;5;5;4;;5;4;49;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOPSVHKMKNCDEIGED00868799;2024;3;1;1;43;N;30;107;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;4;1;3;1210000;7;7;7;;8;7;302500;5;5;4;;5;4;141;1;2;98;0;0;0;Desocupado;Nuclear
TQRMNORRWHJNLPCDEHJGH00862686;2024;3;1;1;40;S;23;377;1;;7;1;;4;1;1;1;;1;1;1;1;1;2;2;7;7;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;9;2;7;2650000;10;10;10;10;;10;294444,44;4;5;6;4;;6;403;1;5;98;0;0;0;Fuera de categoría/sin información;Extendido
TQRMNORXRHLOLRCDEHJGH00805941;2024;3;1;1;40;S;23;338;1;;4;1;;2;1;1;1;;1;1;1;1;1;2;2;4;3;2;0;2;2;2;0;0;0;0;1;;1;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;785000;5;5;5;4;;5;196250;3;3;4;3;;4;338;1;0;98;0;0;0;Inactivo;Nuclear
TQRMNOSVYHLLNQCDEIIAD00806996;2024;3;1;1;1;S;32;3109;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Desocupado;Extendido
TQRMNORSVHKLNSCDEIIAD00868800;2024;3;1;1;1;S;32;2013;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1;0;1;0;12;;12;12;;12;0;12;;12;12;;12;0;96;0;97;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOQRPHKNNTCDEIIAD00868801;2024;3;1;1;1;S;32;2284;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;650000;4;;3;3;;2;325000;5;;5;5;;2;2903;1;2;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNOSPUHMMNPCDEIIAD00812121;2024;3;1;1;1;S;32;3754;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;1;1;1;1;2;2;0;2;0;2;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;800000;5;;4;5;;3;800000;9;;9;9;;6;4500;1;0;98;0;0;0;Ocupado autónomo;Unipersonal
TQRMNOQWQHMLKSCDEGJBF00810091;2024;3;1;1;43;S;13;1038;2;;4;2;;2;1;1;1;;1;1;1;2;2;2;2;4;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;1;2;2;2;4;2;2;1805000;9;9;9;9;;9;451250;7;7;6;7;;7;1057;1;2;98;0;0;0;Desocupado;Nuclear
TQRMNOSUSHKMKPCDEGJBF00868551;2024;3;1;1;43;S;13;612;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;3;0;3;991969;6;6;6;6;;6;330656,33;5;5;5;5;;5;649;1;3;98;0;0;0;Desocupado;Nuclear
TQRMNOPUPHLMLNCDEGIBJ00804725;2024;3;1;1;41;N;12;275;1;;7;1;;4;1;1;1;;1;1;1;1;2;2;2;7;6;2;0;2;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;850000;5;6;7;;6;7;212500;3;3;5;;4;4;282;2;0;98;0;0;0;Fuera de categoría/sin información;Nuclear
TQRMNORXYHLMLNCDEGIBJ00804788;2024;3;1;1;41;N;12;287;1;;4;2;;4;2;1;1;;1;2;1;1;2;2;2;4;2;1;1;2;2;1;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;595000;3;4;5;;4;4;297500;4;5;7;;5;6;284;1;0;98;0;0;0;Desocupado;Nuclear
TQRMNOPPRHJLLMCDEGIBJ00863318;2024;3;1;1;41;N;12;697;2;;5;1;;1;1;1;1;;1;1;1;1;2;1;2;5;2;1;1;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;3;0;3;525000;3;3;4;;3;4;175000;2;2;4;;3;3;732;1;0;2;0;0;0;Desocupado;Nuclear
TQRMNOPTPHMOKUCDEFOCD00809509;2024;3;1;1;41;N;8;396;1;;2;1;;4;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;0;5;200000;1;1;1;;1;2;40000;1;1;1;;1;1;555;1;2;98;0;0;0;Desocupado;Extendido
TQRMNOPQSHLMKOCDEHLEH00806108;2024;3;1;1;40;N;25;197;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;0;3;455000;2;3;3;;3;3;151666,67;2;2;3;;2;3;244;1;0;98;0;0;0;Inactivo;Nuclear
TQRMNOSQQHKLKMCDEHLEH00868552;2024;3;1;1;40;N;25;132;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1210000;7;7;8;;8;9;403333,33;6;7;8;;7;9;175;2;0;98;0;0;0;Desocupado;Nuclear
TQRMNOPSRHKOKNCDEHLEH00868553;2024;3;1;1;40;N;25;181;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;1;5;0;12;12;12;;12;12;0;12;12;12;;12;12;0;6;0;98;0;0;0;Inactivo;Extendido
TQRMNORXQHKMKOCDEHLEH00868554;2024;3;1;1;40;N;25;135;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;4;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;6;0;6;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;1;4;3;5;0;Fuera de categoría/sin información;Extendido
TQRMNORUXHJNKPCDEHLEH00863551;2024;3;1;1;40;N;25;145;1;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;1026000;6;7;7;;7;8;513000;7;8;9;;8;10;217;1;0;1;0;0;0;Ocupado autónomo;Nuclear
TQRMNOSUVHLNKQCDEHLEH00806109;2024;3;1;1;40;N;25;117;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;1;2;2;2;2;1;2;1;2;1;2;2;2;2;4;1;3;555000;3;3;4;;4;4;138750;2;2;2;;2;2;166;2;1;4;0;0;0;Desocupado;Nuclear
TQRMNOQXPHLKKRCDEHLEH00806111;2024;3;1;1;40;N;25;155;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;500000;3;3;3;;3;4;500000;7;8;9;;8;10;166;2;0;96;0;0;0;Desocupado;Unipersonal
TQRMNORUTHMOKRCDEHLEH00811182;2024;3;1;1;40;N;25;176;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;1;1;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;5;0;5;300000;1;2;2;;2;2;60000;1;1;1;;1;1;135;2;3;98;0;0;0;Inactivo;Extendido
TQRMNOTVPHKOKUCDEHLEH00868555;2024;3;1;1;40;N;25;239;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;4;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;5;1;4;820000;5;5;6;;6;7;164000;2;2;3;;3;3;258;1;0;3;4;0;0;Fuera de categoría/sin información;Extendido
TQRMNOQTTHMLKTCDEGGFB00852623;2024;3;1;1;42;S;10;827;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;1800000;9;9;9;9;;9;600000;8;8;9;8;;8;1712;2;0;98;0;0;0;Ocupado autónomo;Nuclear
TQRMNOQVPHJMLTCDEFJAH00868556;2024;3;1;1;43;N;3;396;1;;4;1;;4;1;1;1;;1;1;1;2;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;5815000;10;10;10;;10;10;1453750;10;10;10;;10;10;1101;96;0;98;0;0;0;Inactivo;Nuclear
